record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
187900,1995,Never wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,1 cigarette,NA
503776,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
768536,2007,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1097906,2011,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,TRUE
329888,1999,Sometimes wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,1 cigarette,NA
1096719,2011,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
181973,1995,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
769918,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1107253,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
190572,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1303819,2013,Never wore a helmet,0 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
267046,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
767638,2007,Never wore a helmet,NA,No,NA,0 days,Did not smoke cigarettes,NA
768454,2007,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
502044,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
181462,1995,NA,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
119123,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
399843,2001,Never wore a helmet,NA,Yes,15 or 16 years old,NA,NA,NA
1308699,2013,Most of the time wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
116476,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
937112,2009,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
117611,1993,NA,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
1305059,2013,Rarely wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
771848,2007,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
771185,2007,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1109798,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
508419,2003,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
405775,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1312940,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
634914,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
110167,1993,Did not ride a bicycle,NA,Yes,11 or 12 years old,3 to 5 days,2 to 5 cigarettes,NA
924160,2009,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
